,timestep_int,age_bin,USER_gender,USER_eldership,count,timestep
71,908,"(89, 99]",Moteris,Senamiestis,0.7333373189847592,2024-06
72,908,"(89, 99]",Moteris,Fabijoniškės,2.258489832769545,2024-06
73,908,"(89, 99]",Moteris,Šeškinė,0.9934053181519946,2024-06
74,908,"(89, 99]",Moteris,Pilaitė,1.6326213047762863,2024-06
75,908,"(89, 99]",Moteris,Karoliniškės,0.10001751231788347,2024-06
76,908,"(89, 99]",Moteris,Rasos,-1.5700755284253285,2024-06
77,908,"(89, 99]",Moteris,Viršuliškės,-1.6301369287084126,2024-06
78,908,"(89, 99]",Moteris,Verkiai,4.5207588791211,2024-06
79,908,"(89, 99]",Moteris,Šnipiškės,-0.5473849024623085,2024-06
80,908,"(89, 99]",Moteris,Naujininkai,1.7300834771309788,2024-06
81,908,"(89, 99]",Moteris,Vilkpėdė,-0.5865681980380053,2024-06
82,908,"(89, 99]",Moteris,Paneriai,-1.9121966032228617,2024-06
83,908,"(89, 99]",Moteris,Grigiškės,-2.682155311793408,2024-06
84,908,"(99, 109]",Vyras,Justiniškės,0.8144856066499067,2024-06
85,908,"(99, 109]",Vyras,Žirmūnai,3.115626984742569,2024-06
86,908,"(99, 109]",Vyras,Žvėrynas,-0.8134524388377145,2024-06
87,908,"(99, 109]",Vyras,Pašilaičiai,3.8647421803386983,2024-06
88,908,"(99, 109]",Vyras,Lazdynai,1.593138871256654,2024-06
89,908,"(99, 109]",Vyras,Naujamiestis,2.2864445433837126,2024-06
90,908,"(99, 109]",Vyras,Naujoji Vilnia,3.0264361818617935,2024-06
91,908,"(99, 109]",Vyras,Antakalnis,3.0672301149470584,2024-06
92,908,"(99, 109]",Vyras,Senamiestis,1.1992909034193584,2024-06
93,908,"(99, 109]",Vyras,Fabijoniškės,2.724443417204144,2024-06
94,908,"(99, 109]",Vyras,Šeškinė,1.4593589025865938,2024-06
95,908,"(99, 109]",Vyras,Pilaitė,2.0985748892108873,2024-06
96,908,"(99, 109]",Vyras,Karoliniškės,0.5659710967524845,2024-06
97,908,"(99, 109]",Vyras,Rasos,-1.1041219439907284,2024-06
98,908,"(99, 109]",Vyras,Viršuliškės,-1.1641833442738125,2024-06
